21 324
e 1 2
e 2 1
e 1 3
e 3 1
e 1 5
e 5 1
e 1 7
e 7 1
e 1 8
e 8 1
e 1 9
e 9 1
e 1 10
e 10 1
e 1 13
e 13 1
e 1 14
e 14 1
e 1 15
e 15 1
e 1 17
e 17 1
e 1 19
e 19 1
e 1 20
e 20 1
e 1 21
e 21 1
e 2 4
e 4 2
e 2 5
e 5 2
e 2 6
e 6 2
e 2 7
e 7 2
e 2 8
e 8 2
e 2 9
e 9 2
e 2 12
e 12 2
e 2 14
e 14 2
e 2 15
e 15 2
e 2 16
e 16 2
e 2 18
e 18 2
e 2 19
e 19 2
e 3 4
e 4 3
e 3 5
e 5 3
e 3 6
e 6 3
e 3 8
e 8 3
e 3 9
e 9 3
e 3 10
e 10 3
e 3 11
e 11 3
e 3 13
e 13 3
e 3 14
e 14 3
e 3 15
e 15 3
e 3 17
e 17 3
e 3 18
e 18 3
e 3 19
e 19 3
e 3 21
e 21 3
e 4 5
e 5 4
e 4 6
e 6 4
e 4 7
e 7 4
e 4 8
e 8 4
e 4 9
e 9 4
e 4 10
e 10 4
e 4 11
e 11 4
e 4 12
e 12 4
e 4 13
e 13 4
e 4 14
e 14 4
e 4 15
e 15 4
e 4 17
e 17 4
e 4 18
e 18 4
e 4 19
e 19 4
e 5 8
e 8 5
e 5 9
e 9 5
e 5 10
e 10 5
e 5 11
e 11 5
e 5 12
e 12 5
e 5 13
e 13 5
e 5 14
e 14 5
e 5 16
e 16 5
e 5 18
e 18 5
e 5 19
e 19 5
e 5 20
e 20 5
e 5 21
e 21 5
e 6 7
e 7 6
e 6 8
e 8 6
e 6 9
e 9 6
e 6 10
e 10 6
e 6 11
e 11 6
e 6 12
e 12 6
e 6 14
e 14 6
e 6 15
e 15 6
e 6 16
e 16 6
e 6 19
e 19 6
e 6 20
e 20 6
e 7 8
e 8 7
e 7 10
e 10 7
e 7 11
e 11 7
e 7 12
e 12 7
e 7 13
e 13 7
e 7 17
e 17 7
e 7 18
e 18 7
e 7 19
e 19 7
e 7 20
e 20 7
e 7 21
e 21 7
e 8 9
e 9 8
e 8 10
e 10 8
e 8 11
e 11 8
e 8 12
e 12 8
e 8 13
e 13 8
e 8 14
e 14 8
e 8 15
e 15 8
e 8 16
e 16 8
e 8 17
e 17 8
e 8 18
e 18 8
e 8 21
e 21 8
e 9 10
e 10 9
e 9 11
e 11 9
e 9 13
e 13 9
e 9 14
e 14 9
e 9 15
e 15 9
e 9 16
e 16 9
e 9 17
e 17 9
e 9 18
e 18 9
e 9 19
e 19 9
e 9 21
e 21 9
e 10 11
e 11 10
e 10 12
e 12 10
e 10 13
e 13 10
e 10 14
e 14 10
e 10 15
e 15 10
e 10 16
e 16 10
e 10 17
e 17 10
e 10 18
e 18 10
e 10 19
e 19 10
e 10 20
e 20 10
e 10 21
e 21 10
e 11 12
e 12 11
e 11 14
e 14 11
e 11 15
e 15 11
e 11 16
e 16 11
e 11 17
e 17 11
e 11 18
e 18 11
e 11 19
e 19 11
e 11 20
e 20 11
e 11 21
e 21 11
e 12 13
e 13 12
e 12 15
e 15 12
e 12 16
e 16 12
e 12 18
e 18 12
e 12 19
e 19 12
e 12 20
e 20 12
e 12 21
e 21 12
e 13 14
e 14 13
e 13 15
e 15 13
e 13 16
e 16 13
e 13 17
e 17 13
e 13 19
e 19 13
e 13 20
e 20 13
e 14 15
e 15 14
e 14 16
e 16 14
e 14 17
e 17 14
e 14 18
e 18 14
e 14 19
e 19 14
e 14 20
e 20 14
e 15 18
e 18 15
e 15 19
e 19 15
e 15 20
e 20 15
e 16 17
e 17 16
e 16 18
e 18 16
e 16 19
e 19 16
e 16 20
e 20 16
e 16 21
e 21 16
e 17 18
e 18 17
e 17 20
e 20 17
e 17 21
e 21 17
e 18 19
e 19 18
e 19 20
e 20 19
e 19 21
e 21 19
e 20 21
e 21 20
