16 116
e 1 3
e 3 1
e 1 5
e 5 1
e 1 7
e 7 1
e 1 8
e 8 1
e 1 9
e 9 1
e 1 10
e 10 1
e 1 13
e 13 1
e 1 14
e 14 1
e 2 5
e 5 2
e 2 6
e 6 2
e 2 7
e 7 2
e 2 10
e 10 2
e 2 11
e 11 2
e 2 12
e 12 2
e 2 13
e 13 2
e 3 4
e 4 3
e 3 6
e 6 3
e 3 10
e 10 3
e 3 11
e 11 3
e 3 15
e 15 3
e 4 6
e 6 4
e 4 7
e 7 4
e 4 8
e 8 4
e 4 9
e 9 4
e 5 6
e 6 5
e 5 9
e 9 5
e 5 10
e 10 5
e 5 11
e 11 5
e 5 13
e 13 5
e 5 14
e 14 5
e 5 16
e 16 5
e 6 8
e 8 6
e 6 9
e 9 6
e 6 11
e 11 6
e 6 13
e 13 6
e 7 9
e 9 7
e 7 10
e 10 7
e 7 12
e 12 7
e 7 13
e 13 7
e 7 14
e 14 7
e 7 15
e 15 7
e 8 9
e 9 8
e 8 11
e 11 8
e 8 13
e 13 8
e 8 16
e 16 8
e 9 10
e 10 9
e 9 11
e 11 9
e 9 12
e 12 9
e 10 11
e 11 10
e 10 14
e 14 10
e 10 15
e 15 10
e 11 14
e 14 11
e 11 16
e 16 11
e 13 14
e 14 13
e 13 15
e 15 13
e 13 16
e 16 13
e 14 16
e 16 14
e 15 16
e 16 15
