21 116
e 1 5
e 5 1
e 1 7
e 7 1
e 1 8
e 8 1
e 1 9
e 9 1
e 1 13
e 13 1
e 1 14
e 14 1
e 1 21
e 21 1
e 2 5
e 5 2
e 2 7
e 7 2
e 2 12
e 12 2
e 2 14
e 14 2
e 2 18
e 18 2
e 2 19
e 19 2
e 3 5
e 5 3
e 3 8
e 8 3
e 3 10
e 10 3
e 3 19
e 19 3
e 4 7
e 7 4
e 4 9
e 9 4
e 4 10
e 10 4
e 4 14
e 14 4
e 4 15
e 15 4
e 4 17
e 17 4
e 4 19
e 19 4
e 5 8
e 8 5
e 5 9
e 9 5
e 5 11
e 11 5
e 5 12
e 12 5
e 5 14
e 14 5
e 5 20
e 20 5
e 6 9
e 9 6
e 6 20
e 20 6
e 7 12
e 12 7
e 7 19
e 19 7
e 8 11
e 11 8
e 8 12
e 12 8
e 8 13
e 13 8
e 8 14
e 14 8
e 9 10
e 10 9
e 9 13
e 13 9
e 9 14
e 14 9
e 10 11
e 11 10
e 10 14
e 14 10
e 10 20
e 20 10
e 11 12
e 12 11
e 11 17
e 17 11
e 12 13
e 13 12
e 12 15
e 15 12
e 12 18
e 18 12
e 13 17
e 17 13
e 14 15
e 15 14
e 14 18
e 18 14
e 14 19
e 19 14
e 15 19
e 19 15
e 16 17
e 17 16
e 17 18
e 18 17
e 17 20
e 20 17
e 20 21
e 21 20
