18 86
e 1 5
e 5 1
e 1 7
e 7 1
e 1 8
e 8 1
e 1 9
e 9 1
e 1 13
e 13 1
e 1 14
e 14 1
e 2 5
e 5 2
e 2 8
e 8 2
e 2 10
e 10 2
e 2 15
e 15 2
e 2 17
e 17 2
e 3 6
e 6 3
e 3 7
e 7 3
e 3 11
e 11 3
e 3 14
e 14 3
e 3 16
e 16 3
e 4 11
e 11 4
e 4 16
e 16 4
e 4 18
e 18 4
e 5 6
e 6 5
e 5 10
e 10 5
e 5 11
e 11 5
e 5 13
e 13 5
e 5 15
e 15 5
e 6 8
e 8 6
e 6 9
e 9 6
e 6 11
e 11 6
e 6 12
e 12 6
e 6 14
e 14 6
e 7 9
e 9 7
e 7 13
e 13 7
e 8 14
e 14 8
e 9 11
e 11 9
e 9 18
e 18 9
e 10 15
e 15 10
e 10 16
e 16 10
e 10 17
e 17 10
e 10 18
e 18 10
e 12 13
e 13 12
e 12 16
e 16 12
e 12 17
e 17 12
e 14 16
e 16 14
e 15 16
e 16 15
