15 86
e 1 2
e 2 1
e 1 3
e 3 1
e 1 4
e 4 1
e 1 5
e 5 1
e 1 6
e 6 1
e 1 10
e 10 1
e 1 13
e 13 1
e 1 15
e 15 1
e 2 4
e 4 2
e 2 5
e 5 2
e 2 8
e 8 2
e 2 11
e 11 2
e 2 14
e 14 2
e 2 15
e 15 2
e 3 5
e 5 3
e 3 6
e 6 3
e 3 8
e 8 3
e 3 9
e 9 3
e 3 11
e 11 3
e 3 13
e 13 3
e 3 14
e 14 3
e 4 6
e 6 4
e 4 8
e 8 4
e 4 9
e 9 4
e 4 13
e 13 4
e 4 14
e 14 4
e 5 8
e 8 5
e 5 10
e 10 5
e 5 12
e 12 5
e 5 14
e 14 5
e 6 10
e 10 6
e 7 10
e 10 7
e 7 14
e 14 7
e 7 15
e 15 7
e 8 9
e 9 8
e 8 14
e 14 8
e 8 15
e 15 8
e 9 10
e 10 9
e 9 13
e 13 9
e 10 14
e 14 10
e 11 13
e 13 11
e 11 15
e 15 11
e 12 14
e 14 12
